Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
37.96294538,-2.735879459,0.06588525653,-2.404709537,3.643076343,jumping
37.97293638,-2.821173379,0.6331926441,-2.866307452,4.07132295,jumping
37.98292838,-3.095537016,1.1010348,-2.967616895,4.427344248,jumping
37.99291938,-3.354611939,1.733300661,-2.970577925,4.804381922,jumping
38.00291138,-3.490454453,2.176780393,-2.784266631,4.967271468,jumping
38.01290238,-3.371098164,2.428464435,-2.325850771,4.761441394,jumping
38.02289338,-3.277551484,2.657271246,-1.663397782,4.53545217,jumping
38.03288537,-3.010360041,2.831389634,-1.017694728,4.256141139,jumping
38.04287638,-2.586720496,3.032133318,-0.4160241312,4.007247367,jumping
38.05286738,-2.020729902,3.333566056,0.3735765615,3.916065811,jumping
38.06285938,-1.373876992,3.857968329,1.560003222,4.382358688,jumping
38.07285037,-0.6285522938,4.489620817,2.35436618,5.10830825,jumping
38.08284238,0.3124681878,4.780152006,2.161878764,5.255588393,jumping
38.09283338,1.366460969,4.487845602,1.276624348,4.861866252,jumping
38.10282438,2.311823008,3.820726243,0.2754105815,4.474184354,jumping
38.11281637,3.014824975,2.786492373,-0.8156208023,4.18556408,jumping
38.12280738,3.895585222,2.026787617,-1.274983326,4.572639801,jumping
38.13279838,4.105196501,1.216338385,0.8467233118,4.364522625,jumping
38.14279038,4.257721413,-0.6232950622,4.525278015,6.244584012,jumping
38.15278137,5.001099574,-2.92877735,6.095236414,8.410745547,jumping
38.16277338,4.900949049,-3.759691837,4.52471639,7.656868988,jumping
38.17276438,3.775101004,-2.161948346,1.69624744,4.669332246,jumping
38.18275538,3.53095987,0.5816564548,0.7944000873,3.665661378,jumping
38.19274738,2.309193515,3.870793027,0.840217115,4.584907649,jumping
38.20273838,0.1778395557,2.808470888,-0.7540238938,2.913363634,jumping
38.21273038,-1.742922839,-3.527562053,-3.146616538,5.038121644,jumping
38.22272138,-2.607195691,-13.26369535,-2.841848841,13.81300794,jumping
38.23271238,2.585627067,-23.20996354,-2.730545337,23.51262964,jumping
38.24270438,7.251835551,-21.15253885,-0.5422690254,22.36767924,jumping
38.25269538,5.117710596,-2.850387822,2.103322992,6.224117615,jumping
38.26268638,-1.069985501,2.443540896,1.988966072,3.327423496,jumping
38.27267838,-7.317567025,2.937789663,0.8655946156,7.932631929,jumping
38.28266938,-10.63468428,2.27182396,-2.73487637,11.21326191,jumping
38.29266138,-13.12025613,3.562771647,-4.19699574,14.22846569,jumping
38.30265238,-12.70007521,3.289242992,-3.01180138,13.46038549,jumping
38.31264338,-8.866871012,-0.3008298898,-0.3860992509,8.880370083,jumping
38.32263537,-4.177814534,-5.469458039,0.6735536349,6.915401653,jumping
38.33262638,-0.2718136668,-10.41906469,-1.886064432,10.59188514,jumping
38.34261838,3.411139312,-12.0453578,-1.642421773,12.6263243,jumping
38.35260938,4.718391375,-9.108169815,-0.1958217904,10.25964525,jumping
38.36260037,1.969208331,-4.104550091,0.02178175539,4.552536364,jumping
38.37259238,-1.899922333,-0.9787356073,-0.2540328687,2.152245562,jumping
38.38258338,-4.260373126,0.01572901011,0.1225006297,4.262162946,jumping
38.39257438,-4.465402819,0.6049646258,0.1366231173,4.508266896,jumping
38.40256637,-3.887600849,1.004161055,-0.6057940534,4.060636184,jumping
38.41255738,-3.169606621,0.8493291235,-0.7117043781,3.357720836,jumping
38.42254938,-1.973141752,1.271944821,-0.4228875929,2.385364945,jumping
38.43254038,-2.161238202,1.084970745,0.3375121048,2.441726132,jumping
38.44253137,-1.509679453,0.2984945118,1.58555994,2.209577188,jumping
38.45252338,-0.5227536508,0.458512339,1.679229996,1.817503321,jumping
38.46251438,0.02624844342,1.004121294,1.625893595,1.91114587,jumping
38.47250638,0.3830668849,1.33811776,0.7931683713,1.602003572,jumping
38.48249738,0.3282202944,0.8292246419,-0.5898162442,1.06921713,jumping
38.49248838,0.5697067925,0.7306382471,-0.08854029357,0.9307187874,jumping
38.50248038,0.9871833721,1.453271071,0.2282935716,1.771622356,jumping
38.51247138,1.207004474,2.108891881,0.3223942749,2.451167647,jumping
38.52246238,1.269531383,2.694142619,0.7716009164,3.076602405,jumping
38.53245438,1.519811216,3.086453952,1.123107893,3.619032394,jumping
38.54244538,1.590769809,3.520652398,1.28287736,4.070788157,jumping
38.55243738,1.566457087,3.743585097,1.258902753,4.24888848,jumping
38.56242838,1.374216131,4.162594816,1.333568188,4.581928599,jumping
38.57241938,1.262163891,4.345965253,1.218785883,4.686780419,jumping
38.58241138,1.033056825,3.967553921,1.198997151,4.271567007,jumping
38.59240238,0.9381638244,2.844169893,1.294347843,3.26263545,jumping
38.60239438,0.8401057255,1.83350498,1.341687486,2.422321913,jumping
38.61238537,0.5859000716,0.9150933427,1.366109551,1.745545767,jumping
38.62237638,-0.0975143078,0.1293778324,1.61969043,1.627772943,jumping
38.63236838,-0.6282906309,-0.3537998164,2.241445336,2.354570156,jumping
38.64235938,-0.9821389791,0.09367824197,3.019357737,3.176459307,jumping
38.65235137,-1.159871823,1.14591335,3.549882045,3.906415567,jumping
38.66234238,-1.266797517,2.264668722,3.839333253,4.634002611,jumping
38.67233338,-1.168141248,2.592418608,4.011144329,4.91675371,jumping
38.68232538,-1.014812051,2.33690464,3.899150269,4.657718284,jumping
38.69231637,-0.5454931802,1.627512251,3.665169842,4.047200131,jumping
38.70230738,0.09297833025,0.7160020816,3.411950905,3.487508126,jumping
38.71229938,0.9232931855,-0.8551225448,3.33960623,3.568847803,jumping
38.72229038,1.937785978,-2.569879346,4.0474532,5.171186687,jumping
38.73228238,2.553442823,-3.514254375,5.549599392,7.047560392,jumping
38.74227338,1.934055747,-2.652913901,6.897036445,7.638562399,jumping
38.75226438,1.158658526,-0.6967840379,6.531628736,6.670095316,jumping
38.76225638,1.95380004,1.007693358,5.578102815,5.995666061,jumping
38.77224738,3.225512142,2.120291027,4.448371634,5.889615676,jumping
38.78223838,3.969407196,2.159893634,3.118835247,5.490761996,jumping
38.79223038,4.538407645,1.644085599,2.023171114,5.233868815,jumping
38.80222138,4.925552963,0.3806028682,1.191768311,5.081952601,jumping
38.81221338,4.145964165,-1.092148787,0.5944360562,4.328413342,jumping
38.82220438,2.364781533,-2.524166983,-0.5452334176,3.501555388,jumping
38.83219538,1.672281457,-5.509226122,-1.42818944,5.931932469,jumping
38.84218738,1.331523855,-5.727777502,-1.553863646,6.082341911,jumping
38.85217838,0.5792839471,-3.996033955,-2.587240899,4.795588882,jumping
38.86217037,0.7259014177,-4.31136377,-2.723741224,5.151073352,jumping
38.87216138,1.004214849,-4.866921178,-1.307783283,5.138644406,jumping
38.88215238,2.073823497,-5.144042947,-0.4034229429,5.560995577,jumping
38.89214438,2.434459001,-4.344588819,0.2107988486,4.984624237,jumping
38.90213538,2.865157889,-3.851161585,-0.09016494244,4.800906686,jumping
38.91212738,1.704979964,-3.701338964,-1.621124752,4.385762449,jumping
38.92211838,1.438717936,-2.452322245,-2.487958393,3.778059112,jumping
38.93210938,2.788365237,-1.714289024,-5.421909651,6.333314442,jumping
38.94210137,1.655549357,0.09804026484,-4.696443266,4.980666112,jumping
38.95209238,1.149695037,2.370154831,-3.952978567,4.750312848,jumping
38.96208338,-0.1309817237,1.192812697,-2.308447995,2.601709148,jumping
38.97207538,-1.100740978,0.2481318587,-0.7855301535,1.374866445,jumping
38.98206637,-1.356263132,0.3313634652,-0.2386678478,1.416408759,jumping
38.99205838,-1.244953196,0.8092949921,0.4267283365,1.544980232,jumping
39.00204938,-1.218304219,1.259955105,0.8892194134,1.965315039,jumping
39.01204038,-1.513105629,0.9203710395,0.3499394846,1.805278133,jumping
39.02203237,-2.094344008,0.342303021,-0.2180537814,2.133306268,jumping
39.03202338,-2.792066524,0.09067452729,-0.5945840639,2.856114065,jumping
39.04201538,-3.370125772,-0.1682717568,-1.392008039,3.650171158,jumping
39.05200638,-3.908414598,-0.1019380188,-2.238556811,4.505245013,jumping
39.06199737,-4.594833276,0.255874157,-2.649363472,5.310093335,jumping
